Date,Equity,Cash,Return,Peak,Drawdown
2020-07-27,1100.0,1100.0,,1100.0,0.0
2020-07-28,1100.0,1100.0,0.0,1100.0,0.0
2020-07-29,1100.0,1100.0,0.0,1100.0,0.0
2020-07-30,1100.0,1100.0,0.0,1100.0,0.0
2020-07-31,1100.0,1100.0,0.0,1100.0,0.0
2020-08-03,1100.0,1100.0,0.0,1100.0,0.0
2020-08-04,1100.0,1100.0,0.0,1100.0,0.0
2020-08-05,1100.0,1100.0,0.0,1100.0,0.0
2020-08-06,1100.0,1100.0,0.0,1100.0,0.0
2020-08-07,1100.0,1100.0,0.0,1100.0,0.0
2020-08-10,1100.0,1100.0,0.0,1100.0,0.0
2020-08-11,1100.0,1100.0,0.0,1100.0,0.0
2020-08-12,1100.0,1100.0,0.0,1100.0,0.0
2020-08-13,1100.0,1100.0,0.0,1100.0,0.0
2020-08-14,1100.0,1100.0,0.0,1100.0,0.0
2020-08-17,1100.0,1100.0,0.0,1100.0,0.0
2020-08-18,1100.0,1100.0,0.0,1100.0,0.0
2020-08-19,1100.0,1100.0,0.0,1100.0,0.0
2020-08-20,1100.0,1100.0,0.0,1100.0,0.0
2020-08-21,1100.0,1100.0,0.0,1100.0,0.0
2020-08-24,1100.0,1100.0,0.0,1100.0,0.0
2020-08-25,1100.0,1100.0,0.0,1100.0,0.0
2020-08-26,1100.0,1100.0,0.0,1100.0,0.0
2020-08-27,1100.0,1100.0,0.0,1100.0,0.0
2020-08-28,1100.0,1100.0,0.0,1100.0,0.0
2020-08-31,1100.0,1100.0,0.0,1100.0,0.0
2020-09-01,1100.0,1100.0,0.0,1100.0,0.0
2020-09-02,1100.0,1100.0,0.0,1100.0,0.0
2020-09-03,1100.0,1100.0,0.0,1100.0,0.0
2020-09-04,1100.0,1100.0,0.0,1100.0,0.0
2020-09-08,1100.0,1100.0,0.0,1100.0,0.0
2020-09-09,1100.0,1100.0,0.0,1100.0,0.0
2020-09-10,1100.0,1100.0,0.0,1100.0,0.0
2020-09-11,1100.0,1100.0,0.0,1100.0,0.0
2020-09-14,1100.0,1100.0,0.0,1100.0,0.0
2020-09-15,1100.0,1100.0,0.0,1100.0,0.0
2020-09-16,1100.0,1100.0,0.0,1100.0,0.0
2020-09-17,1100.0,1100.0,0.0,1100.0,0.0
2020-09-18,1100.0,1100.0,0.0,1100.0,0.0
2020-09-21,1100.0,1100.0,0.0,1100.0,0.0
2020-09-22,1100.0,1100.0,0.0,1100.0,0.0
2020-09-23,1100.0,1100.0,0.0,1100.0,0.0
2020-09-24,1100.0,1100.0,0.0,1100.0,0.0
2020-09-25,1100.0,1100.0,0.0,1100.0,0.0
2020-09-28,1100.0,1100.0,0.0,1100.0,0.0
2020-09-29,1100.0,1100.0,0.0,1100.0,0.0
2020-09-30,1100.0,1100.0,0.0,1100.0,0.0
2020-10-01,1100.0,1100.0,0.0,1100.0,0.0
2020-10-02,1100.0,1100.0,0.0,1100.0,0.0
2020-10-05,1100.0,1100.0,0.0,1100.0,0.0
2020-10-06,1100.0,1100.0,0.0,1100.0,0.0
2020-10-07,1100.0,1100.0,0.0,1100.0,0.0
2020-10-08,1100.0,1100.0,0.0,1100.0,0.0
2020-10-09,1100.0,1100.0,0.0,1100.0,0.0
2020-10-12,1100.0,1100.0,0.0,1100.0,0.0
2020-10-13,1100.0,1100.0,0.0,1100.0,0.0
2020-10-14,1100.0,1100.0,0.0,1100.0,0.0
2020-10-15,1100.0,1100.0,0.0,1100.0,0.0
